iter	Logloss
0	0.6789099151
1	0.6656309705
2	0.6518787596
3	0.6393117244
4	0.6278543763
5	0.6175108533
6	0.6084888227
7	0.5987869817
8	0.5894740513
9	0.5809170702
10	0.5734804167
11	0.5660552313
12	0.5592135598
13	0.5518802966
14	0.5459328418
15	0.5397161821
16	0.5341571651
17	0.5288299339
18	0.5237038084
19	0.5195491024
20	0.5152057638
21	0.5102516599
22	0.5061049935
23	0.5025147076
24	0.4989540377
25	0.4949246829
26	0.4918371316
27	0.4881744311
28	0.4852322114
29	0.4822336562
30	0.4795520108
31	0.4769939432
32	0.4736307435
33	0.4714440593
34	0.4690869495
35	0.4663925356
36	0.4644395879
37	0.4615914185
38	0.4588018902
39	0.4566149104
40	0.454823669
41	0.4525912601
42	0.4506555442
43	0.4490015062
44	0.4475538055
45	0.4462155839
46	0.4442511976
47	0.4426741261
48	0.4415507245
49	0.440336051
50	0.4392115558
51	0.4378305948
52	0.4365498023
53	0.4349805338
54	0.4337178302
55	0.4324873733
56	0.431445076
57	0.4303767391
58	0.4293483041
59	0.427557713
60	0.4265444702
61	0.4255475725
62	0.424583956
63	0.4236718277
64	0.4229451399
65	0.4216238248
66	0.4207989192
67	0.4200535809
68	0.4190417865
69	0.4181820331
70	0.4174225962
71	0.4167879784
72	0.4160414874
73	0.4146063188
74	0.4139195033
75	0.4131210512
76	0.4124507581
77	0.4113359872
78	0.4106386494
79	0.4099850855
80	0.4090972531
81	0.4084722708
82	0.4072000203
83	0.4065447422
84	0.4059439375
85	0.4053646503
86	0.4040909515
87	0.4029875601
88	0.401753911
89	0.4011775795
90	0.4000228771
91	0.3996212569
92	0.399240563
93	0.3988170116
94	0.3980748359
95	0.3976495997
96	0.3969303898
97	0.3965014589
98	0.3960484687
99	0.3952946476
100	0.3949795407
101	0.3945023433
102	0.3941416891
103	0.3932513443
104	0.3927597526
105	0.3920124045
106	0.3913787029
107	0.3909937528
108	0.3906147142
109	0.3902077442
110	0.3897340049
111	0.3892101075
112	0.388851345
113	0.3885534106
114	0.3881542141
115	0.3878028408
116	0.3872380365
117	0.386803283
118	0.3867398832
119	0.3863838399
120	0.3857332317
121	0.38533105
122	0.3844078674
123	0.3839718133
124	0.3831828489
125	0.3823851652
126	0.3817825872
127	0.3814425046
128	0.3808560646
129	0.3801713477
130	0.3799047438
131	0.379477409
132	0.3789115111
133	0.378667873
134	0.3784178505
135	0.3778892536
136	0.3776913696
137	0.3774121153
138	0.377124585
139	0.3768106604
140	0.3765481353
141	0.3762772161
142	0.375576361
143	0.3751807705
144	0.3749163833
145	0.3747371203
146	0.3744017077
147	0.3740948472
148	0.3738101839
149	0.3735797577
150	0.3733289372
151	0.373043269
152	0.372736645
153	0.3725461207
154	0.3723214581
155	0.3719129512
156	0.371611736
157	0.3713838813
158	0.3711812387
159	0.3707022974
160	0.3705194875
161	0.3700698668
162	0.3697276561
163	0.3695259889
164	0.3691264377
165	0.3688535676
166	0.3685802838
167	0.3683135912
168	0.3680380316
169	0.3678397338
170	0.3674830106
171	0.3672649688
172	0.3669096053
173	0.366512862
174	0.3662477655
175	0.365955979
176	0.3657225676
177	0.3651468863
178	0.3647365764
179	0.3642241471
180	0.3641805506
181	0.3639593462
182	0.363707432
183	0.3630900755
184	0.3629495025
185	0.3626025036
186	0.362314796
187	0.3621367743
188	0.3619135305
189	0.3616505916
190	0.3611686947
191	0.3609896385
192	0.3607056846
193	0.3605174363
194	0.3602739459
195	0.3601056189
196	0.3600970474
197	0.3598931338
198	0.3597586496
199	0.3594539467
200	0.3592649594
201	0.3590112127
202	0.3588400778
203	0.3586305189
204	0.3583445256
205	0.3581722675
206	0.3579653687
207	0.3577560166
208	0.3575969705
209	0.3573293617
210	0.3572045426
211	0.3569865007
212	0.3565450082
213	0.3563513213
214	0.3561202744
215	0.3559790808
216	0.3555575983
217	0.3555245536
218	0.3553278815
219	0.3550842137
220	0.3549662518
221	0.3547639048
222	0.3543784227
223	0.3541818984
224	0.3539705955
225	0.3538670574
226	0.3537505143
227	0.3534122938
228	0.353226676
229	0.3530624574
230	0.3529210569
231	0.352798957
232	0.3526197235
233	0.3524116719
234	0.3522776902
235	0.352100969
236	0.3519363662
237	0.3517029548
238	0.3514336316
239	0.3511334509
240	0.350814472
241	0.3506620467
242	0.3504000241
243	0.3501969677
244	0.3500877251
245	0.3498754469
246	0.349712854
247	0.3496275821
248	0.3493874317
249	0.3491613504
250	0.3489928756
251	0.3488865887
252	0.3487445379
253	0.3484632146
254	0.3480362345
255	0.3478317889
256	0.3476686935
257	0.3474585729
258	0.347313596
259	0.347163151
260	0.3470289623
261	0.346928971
262	0.3467541711
263	0.3465889771
264	0.3463229644
265	0.3461857904
266	0.3460691586
267	0.3459208712
268	0.3457893131
269	0.3455906016
270	0.3453008546
271	0.345077522
272	0.3448205537
273	0.3447154491
274	0.3445975167
275	0.3443700463
276	0.3443689822
277	0.3441455906
278	0.3440116975
279	0.3438331438
280	0.3437245514
281	0.3435831509
282	0.3434962829
283	0.3434153559
284	0.3430592535
285	0.3428856949
286	0.3427474569
287	0.3425843911
288	0.3424246652
289	0.3422153722
290	0.3421267309
291	0.3419259799
292	0.3416969133
293	0.3416148631
294	0.3413471065
295	0.3412241199
296	0.3409285797
297	0.3407518585
298	0.3406098373
299	0.3404020517
300	0.3402558925
301	0.3400600775
302	0.3399276327
303	0.3397276502
304	0.3395701706
305	0.3394142871
306	0.3392438616
307	0.3390158591
308	0.3388134529
309	0.338602889
310	0.3384571731
311	0.3382864816
312	0.3379518966
313	0.3377668995
314	0.3376227501
315	0.337477714
316	0.3372209821
317	0.3370114232
318	0.3368483278
319	0.3367087597
320	0.3365361766
321	0.3362854447
322	0.3361240636
323	0.3359766334
324	0.3357676656
325	0.3356460978
326	0.335399297
327	0.3352124083
328	0.3351065943
329	0.3350033222
330	0.3348374485
331	0.3346626189
332	0.3345637509
333	0.3344826761
334	0.3343301621
335	0.3341176178
336	0.3339925918
337	0.3338070923
338	0.3336684996
339	0.3335292567
340	0.3332993921
341	0.3331515185
342	0.3330346207
343	0.3329014074
344	0.3326712768
345	0.3325174327
346	0.3323147014
347	0.3321647589
348	0.3320273189
349	0.331834105
350	0.3316988227
351	0.3315498555
352	0.3314140412
353	0.3312334481
354	0.3311067669
355	0.3309014641
356	0.3307491275
357	0.330629067
358	0.330489499
359	0.3303617537
360	0.3301335739
361	0.3300423906
362	0.3298929801
363	0.3297133919
364	0.3295960507
365	0.3294815765
366	0.3293851321
367	0.3292145884
368	0.3290567541
369	0.3289321419
370	0.3288028301
371	0.3286691439
372	0.3284238801
373	0.3282823613
374	0.3281607639
375	0.3279688801
376	0.3277876958
377	0.3276330537
378	0.3275553484
379	0.32744182
380	0.327267493
381	0.32709423
382	0.3269212035
383	0.3267157825
384	0.3265889831
385	0.3264737108
386	0.3262955414
